Recency,Frequency,MonetaryTotal,MonetaryAvg,MonetaryStd,MonetaryMin,MonetaryMax,TotalQuantity,AvgQuantityPerTransaction,MinQuantity,MaxQuantity,CustomerTenureDays,FirstPurchaseDaysAgo,PreferredDayOfWeek,PreferredHour,PreferredMonth,WeekendPurchaseRatio,AvgDaysBetweenPurchases,UniqueProducts,UniqueDescriptions,AvgProductsPerTransaction,UniqueCountries,NegativeQuantityCount,ZeroPriceCount,CancelledTransactions,ReturnRatio,TotalTransactions,UniqueInvoices,AvgLinesPerInvoice,Age,SupportTicketsCount,SatisfactionScore,Churn,RFMSegment,AgeCategory,SpendingCategory,CustomerType,FavoriteSeason,PreferredTimeOfDay,Region,LoyaltyLevel,ChurnRiskCategory,WeekendPreference,BasketSizeCategory,ProductDiversity,Gender,AccountStatus,Country,RegYear,RegMonth,RegDay,RegWeekday,MonetaryPerDay,AvgBasketValue
89,26,9111.503450313769,101.91010291335532,266.21034113760857,1265.925110932102,6212.9244904961015,25903,28.22276193886429,-743,4617,451,495,4,12,2,0.8049668338816853,144.10465825056346,258,739,18.391557498889867,1,5,37,47,0.3491603865657497,6409,338,51.923941404591,27.278249935394584,0.0407353237942498,3.4624208897146733,1,Potentiels,45-54,Medium,Regulier,Ete,Apres-midi,Asie,Inconnu,Moyen,Weekend,Petit,Explorateur,Unknown,Closed,Italy,2010,1,1,4,101.23892722570854,350.4424403966834
114,4,13504.966348313315,8.74362311418035,205.54780130035329,4263.826067300868,3340.499656687692,62489,524.0628987362314,-7308,5086,205,236,4,2,2,0.9673281113534696,235.80713459525757,275,796,96.0663694907146,3,49,12,47,0.6703196339815428,7636,278,59.28718689293594,46.51156371644171,14.597960534899888,2.168350531352748,0,Potentiels,55-64,High,Regulier,Automne,Nuit,Asie,Nouveau,Eleve,Semaine,Moyen,Explorateur,M,Suspended,Germany,2010,1,2,5,117.43448998533317,3376.241587078329
104,19,-1388.4930974533297,325.4999835065285,173.67166312942135,-4808.83905570236,7326.990505902804,22093,219.04161282103576,-3650,1141,589,236,1,20,7,0.2685989329145974,54.97299787000948,750,70,69.62376666513076,2,71,10,47,0.6424265730085773,1226,41,79.19694263059455,,9.898760807032078,1.467364175789963,0,Potentiels,25-34,Low,Nouveau,Automne,Matin,Asie,Etabli,Critique,Inconnu,Inconnu,Modere,M,Pending,Germany,2010,1,3,6,-13.223743785269807,-73.07858407649104
390,20,6358.904611052589,449.52512173024354,449.9166728436362,-231.56531682182867,4045.273855738697,81036,989.442334013852,-6522,2315,15,218,5,5,1,0.4948259516005463,340.4165566980047,20,454,80.33578201090003,1,87,9,45,0.9310192758797045,4251,332,65.9677494315875,44.53505692899962,5.679297137499864,0.6127825770018653,1,Dormants,18-24,Low,Occasionnel,Automne,Nuit,Europe_S,Nouveau,Critique,Weekend,Inconnu,Explorateur,F,Closed,Italy,2010,1,4,0,16.263183148472095,317.9452305526294
195,33,13309.765951760835,125.52373680526814,10.91169838774475,1877.220424305607,683.5320030995862,77954,574.8623191163335,-1604,5731,326,486,0,10,7,0.0861161105063738,139.8164643436663,490,439,40.36586358754255,1,19,47,5,0.84141643602535,896,147,61.26707418782574,,10.227696652092558,4.992190891047721,1,Dormants,55-64,Medium,Occasionnel,Ete,Matin,Europe_E,Jeune,Eleve,Weekend,Moyen,Modere,M,Suspended,UK,2010,1,5,1,67.90696914163692,403.32624096244956
313,20,-4321.080428284024,463.8820996741718,331.8948430877945,2227.069576982284,7837.598424841072,24314,138.74738408665442,-7744,2533,607,460,3,16,1,0.5591366564629684,266.27531902140004,745,825,34.2949600229906,3,13,25,33,0.6474469237512481,1621,345,41.76642072109169,,11.101308583682544,-0.5697368746904039,0,Dormants,18-24,Low,Occasionnel,Printemps,Soir,Asie,Nouveau,Critique,Semaine,Moyen,Modere,F,Active,Italy,2010,1,6,2,-13.761402637847208,-216.05402141420117
113,49,8948.405344936798,34.832358193332624,481.6972171067752,1925.32431537108,2857.58324592706,38225,689.0737782705539,-5570,3581,658,662,0,9,6,0.5027834418466806,7.424494886994841,490,364,24.213916671533823,2,4,19,13,0.3415071106840436,5089,178,47.90703506105373,30.08823292544848,11.47939523822047,-0.7386359165654799,0,Potentiels,45-54,Medium,Occasionnel,Printemps,Matin,Europe_S,Ancien,Faible,Weekend,Grand,Specialise,F,Active,France,2010,1,7,3,78.49478372751578,182.62051724360813
74,12,946.980147451015,467.5458332687296,280.084091730921,-3655.648705918781,4327.668795992627,77985,897.8458229432156,-7559,7466,1,634,1,11,3,0.1444364841550776,74.89330716025455,733,983,48.58415480292849,2,40,16,47,0.7795764488612695,5420,315,42.03756210962793,54.60969341596747,6.646036890448922,0.3035444029631873,1,Champions,55-64,Medium,Nouveau,Ete,Apres-midi,Asie,Ancien,Faible,Inconnu,Inconnu,Explorateur,Unknown,Active,UK,2010,1,8,4,12.626401966013534,78.91501228758459
375,47,13487.923907530609,179.05323018361904,468.4112310165459,-2006.044116283188,6854.438832219015,73014,745.4343158742447,-6119,1188,9,143,1,16,8,0.442066213118075,177.78512867810596,326,766,55.63104461988268,4,39,16,22,0.575208293062801,1386,325,84.37443697607694,49.876949736895,5.878124129997568,4.826434751766918,0,Fideles,45-54,Low,Hyperactif,Ete,Nuit,Europe_N,Etabli,Eleve,Weekend,Grand,Explorateur,Unknown,Closed,Germany,2010,1,9,5,35.87213805194311,286.9771044155449
216,1,14421.164903307355,55.20331008236217,26.128939643011883,-1412.8447458298656,3324.56157148712,25179,77.36342117840822,-5354,4472,433,188,0,3,6,0.3341046520865632,320.5621507223065,529,481,63.54570952162278,4,33,3,19,0.9852699881009016,2434,418,23.770044802291583,43.11440411737219,-0.8235506516975946,4.875429009919907,1,Dormants,55-64,VIP,Nouveau,Automne,Nuit,Europe_E,Inconnu,Moyen,Semaine,Moyen,Explorateur,Unknown,Active,France,2010,1,10,6,66.45698112123205,14421.164903307355
